,timestamp
501,3891970459
502,3891995596
503,3892020833
504,3892045942
505,3892070839
506,3892095407
507,3892120464
508,3892145557
509,3892170680
510,3892195450
511,3892220123
512,3892245007
513,3892269914
514,3892294751
515,3892319688
516,3892344660
517,3892370020
518,3892395205
519,3892420064
520,3892444713
521,3892470173
522,3892495540
523,3892520344
524,3892545452
525,3892570239
526,3892595652
527,3892620448
528,3892645665
529,3892670484
530,3892695047
531,3892719905
532,3892744788
533,3892769731
534,3892795368
535,3892820140
536,3892845043
537,3892870329
538,3892895286
539,3892920146
540,3892944776
541,3892970157
542,3892995334
543,3893020611
544,3893045869
545,3893070653
546,3893095630
547,3893120858
548,3893146098
549,3893170823
550,3893195687
551,3893220747
552,3893245888
553,3893270906
554,3893295769
555,3893320687
556,3893345205
557,3893369802
558,3893394509
559,3893419673
560,3893444820
561,3893469940
562,3893495305
563,3893520292
564,3893545038
565,3893570436
566,3893595547
567,3893620554
568,3893645678
569,3893670809
570,3893695546
571,3893720603
572,3893745526
573,3893770306
574,3893795049
575,3893820534
576,3893845532
577,3893870688
578,3893895538
579,3893920395
580,3893945572
581,3893970628
582,3893995548
583,3894020545
584,3894045088
585,3894070521
586,3894095598
587,3894120637
588,3894145560
589,3894170216
590,3894195281
591,3894220090
592,3894244947
593,3894269864
594,3894294804
595,3894319712
596,3894344720
597,3894370065
598,3894395185
599,3894419761
600,3894444986
601,3894470223
602,3894494980
603,3894519788
604,3894544363
605,3894569864
606,3894595248
607,3894620517
608,3894645561
609,3894671150
610,3894695666
611,3894720654
612,3894745670
613,3894770543
614,3894795402
615,3894820641
616,3894845877
617,3894871199
618,3894895644
619,3894920792
620,3894945963
621,3894971305
622,3894995707
623,3895020504
624,3895045193
625,3895070217
626,3895095418
627,3895120655
628,3895145671
629,3895170273
630,3895195333
631,3895220438
632,3895245439
633,3895270356
634,3895294839
635,3895319749
636,3895344665
637,3895369709
638,3895395334
639,3895420212
640,3895445102
641,3895470322
642,3895495353
643,3895520158
644,3895544957
645,3895570211
646,3895595393
647,3895620185
648,3895645280
649,3895669903
650,3895695030
651,3895720198
652,3895745055
653,3895769907
654,3895794664
655,3895819526
656,3895844542
657,3895869366
658,3895894951
659,3895919577
660,3895944640
661,3895969956
662,3895994621
663,3896019319
664,3896044469
665,3896069585
666,3896094492
667,3896119407
668,3896144305
669,3896169441
670,3896194601
671,3896219837
672,3896244551
673,3896269379
674,3896294267
675,3896319449
676,3896344345
677,3896369147
678,3896394683
679,3896419671
680,3896444515
681,3896469672
682,3896494683
683,3896519709
684,3896544363
685,3896569671
686,3896594328
687,3896619250
688,3896644400
689,3896669217
690,3896694367
691,3896719579
692,3896744200
693,3896768929
694,3896794267
695,3896819438
696,3896844479
697,3896869182
698,3896894090
699,3896919345
700,3896944613
701,3896969858
702,3896994963
703,3897020213
704,3897045306
705,3897070393
706,3897095379
707,3897120253
708,3897145436
709,3897170577
710,3897195406
711,3897220456
712,3897245502
713,3897270239
714,3897295125
715,3897320349
716,3897345302
717,3897370008
718,3897395204
719,3897420268
720,3897445176
721,3897470342
722,3897495397
723,3897520295
724,3897545595
725,3897570899
726,3897595519
727,3897620378
728,3897645541
729,3897670960
730,3897695946
731,3897720823
732,3897745834
733,3897770360
734,3897795269
735,3897820297
736,3897845319
737,3897870232
738,3897894788
739,3897919394
740,3897944112
741,3897969304
742,3897994464
743,3898019357
744,3898044345
745,3898069457
746,3898094508
747,3898119395
748,3898144340
749,3898169431
750,3898194627
751,3898219404
752,3898244651
753,3898269794
754,3898294966
755,3898320223
756,3898345070
757,3898370148
758,3898394994
759,3898419812
760,3898444695
761,3898469623
762,3898494723
763,3898519886
764,3898544846
765,3898569903
766,3898594953
767,3898620352
768,3898645424
769,3898670460
770,3898695309
771,3898720357
772,3898745635
773,3898770873
774,3898795790
775,3898820882
776,3898845810
777,3898870656
778,3898895828
779,3898920973
780,3898946124
781,3898970911
782,3898995903
783,3899021220
784,3899046171
785,3899071025
786,3899095822
787,3899120565
788,3899145642
789,3899170772
790,3899195523
791,3899220482
792,3899245068
793,3899270104
794,3899294830
795,3899319745
796,3899344710
797,3899369855
798,3899394514
799,3899419256
800,3899444452
801,3899469500
802,3899494816
803,3899519933
804,3899544954
805,3899569671
806,3899594407
807,3899619200
808,3899643876
809,3899669154
810,3899694505
811,3899719147
812,3899744572
813,3899769960
814,3899795025
815,3899819917
816,3899845260
817,3899870625
818,3899895063
819,3899920276
820,3899945359
821,3899970602
822,3899995716
823,3900020803
824,3900045940
825,3900070777
826,3900095852
827,3900121203
828,3900146165
829,3900170916
830,3900195829
831,3900220100
832,3900245045
833,3900270110
834,3900294976
835,3900320070
836,3900344686
837,3900369852
838,3900394948
839,3900419870
840,3900445089
841,3900469808
842,3900494448
843,3900519164
844,3900544584
845,3900569571
846,3900594717
847,3900619843
848,3900644854
849,3900669657
850,3900694514
851,3900720082
852,3900744983
853,3900770253
854,3900795038
855,3900819887
856,3900845114
857,3900870190
858,3900895087
859,3900919953
860,3900945189
861,3900970355
862,3900994858
863,3901020129
864,3901045111
865,3901069622
866,3901094702
867,3901119971
868,3901145135
869,3901169966
870,3901194742
871,3901219868
872,3901244867
873,3901269764
874,3901294647
875,3901319459
876,3901344425
877,3901369352
878,3901394741
879,3901419762
880,3901444662
881,3901469729
882,3901494770
883,3901519636
884,3901545040
885,3901569631
886,3901594280
887,3901619467
888,3901644388
889,3901669397
890,3901694688
891,3901719856
892,3901744865
893,3901769751
894,3901794788
895,3901819872
896,3901844893
897,3901869941
898,3901895022
899,3901919914
900,3901945177
901,3901970524
902,3901995822
903,3902020579
904,3902045727
905,3902095837
906,3902120926
907,3902145897
908,3902170524
909,3902195662
910,3902220561
911,3902245616
912,3902270691
913,3902295712
914,3902320639
915,3902345622
916,3902370833
917,3902395553
918,3902420796
919,3902445474
920,3902470502
921,3902495704
922,3902520535
923,3902545570
924,3902570736
925,3902595587
926,3902620465
927,3902645350
928,3902670004
929,3902694903
930,3902719876
931,3902744922
932,3902770291
933,3902795337
934,3902820461
935,3902845597
936,3902870554
937,3902895360
938,3902920409
939,3902945538
940,3902970700
941,3902995219
942,3903020065
943,3903045153
944,3903070649
945,3903095326
946,3903120304
947,3903145280
948,3903169735
949,3903194891
950,3903219941
951,3903245028
952,3903270133
953,3903294852
954,3903319602
955,3903344869
956,3903369351
957,3903394413
958,3903419566
959,3903444442
